employee_number,org_location,check_sequence,check_number,business_date,open_time,close_time,is_take_out,total_amount,food_amount,beer_amount,wine_amount,liquor_amount,misc_amount,charge_tip_amount,service_charge_tip_amount,external_revenue_center_id
438284,R0023,1129164058,25175,11/29/2022 12:00:00 AM,11/29/2022 4:40:58 PM,11/29/2022 7:16:10 PM,1,82.00,74.00,0.0,0.0,8.00,0.0,18.00,0.00,2
438284,R0023,1129170730,25176,11/29/2022 12:00:00 AM,11/29/2022 5:07:30 PM,11/29/2022 7:15:43 PM,0,102.00,85.00,0.0,0.0,17.00,0.0,30.00,0.00,2
438284,R0023,1129181334,25177,11/29/2022 12:00:00 AM,11/29/2022 6:13:34 PM,11/29/2022 7:07:55 PM,1,137.00,137.00,0.0,0.0,0.0,0.0,29.04,0.00,2
438284,R0023,1129181537,25178,11/29/2022 12:00:00 AM,11/29/2022 6:15:37 PM,11/29/2022 7:02:06 PM,1,29.00,29.00,0.0,0.0,0.0,0.0,0.00,0.00,2
456760,R0023,1129183610,25179,11/29/2022 12:00:00 AM,11/29/2022 6:36:10 PM,11/29/2022 9:22:57 PM,1,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,2
438284,R0023,1129191955,25180,11/29/2022 12:00:00 AM,11/29/2022 7:19:55 PM,11/29/2022 8:11:57 PM,1,42.00,42.00,0.0,0.0,0.0,0.0,5.00,0.00,2
438284,R0023,1129195235,25181,11/29/2022 12:00:00 AM,11/29/2022 7:52:35 PM,11/29/2022 8:20:36 PM,0,26.00,26.00,0.0,0.0,0.0,0.0,0.00,0.00,2
438284,R0023,1129172849,39113,11/29/2022 12:00:00 AM,11/29/2022 5:28:49 PM,11/29/2022 7:15:32 PM,0,10.00,0.0,0.0,0.0,10.00,0.0,2.00,0.00,2
438284,R0023,1129173201,39114,11/29/2022 12:00:00 AM,11/29/2022 5:32:01 PM,11/29/2022 5:32:22 PM,0,26.00,0.0,5.50,12.50,8.00,0.0,0.00,0.00,2
438284,R0023,1129174845,39115,11/29/2022 12:00:00 AM,11/29/2022 5:48:45 PM,11/29/2022 7:14:57 PM,1,32.00,32.00,0.0,0.0,0.0,0.0,2.00,0.00,2
438284,R0023,1129181128,39116,11/29/2022 12:00:00 AM,11/29/2022 6:11:28 PM,11/29/2022 6:13:14 PM,1,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,2
438284,R0023,1129181905,39117,11/29/2022 12:00:00 AM,11/29/2022 6:19:05 PM,11/29/2022 8:27:05 PM,0,69.00,32.00,0.0,37.00,0.0,0.0,16.00,0.00,2
438284,R0023,1129182416,39118,11/29/2022 12:00:00 AM,11/29/2022 6:24:16 PM,11/29/2022 7:14:45 PM,0,48.00,39.00,0.0,0.0,9.00,0.0,10.00,0.00,2
438284,R0023,1129190145,39119,11/29/2022 12:00:00 AM,11/29/2022 7:01:45 PM,11/29/2022 8:11:22 PM,0,89.50,79.00,0.00,6.79,3.71,0.0,23.99,0.00,2
438284,R0023,1129190319,39120,11/29/2022 12:00:00 AM,11/29/2022 7:03:19 PM,11/29/2022 7:05:02 PM,0,23.00,0.0,11.00,0.0,12.00,0.0,0.00,0.00,2
438284,R0023,1129193610,39121,11/29/2022 12:00:00 AM,11/29/2022 7:36:10 PM,11/29/2022 8:22:39 PM,0,71.50,43.00,5.50,9.50,13.50,0.0,15.00,0.00,2
438284,R0023,1129170607,49651,11/29/2022 12:00:00 AM,11/29/2022 5:06:07 PM,11/29/2022 6:19:22 PM,0,16.50,8.00,0.0,0.0,8.50,0.0,4.00,0.00,2
456760,R0023,1129170942,49652,11/29/2022 12:00:00 AM,11/29/2022 5:09:42 PM,11/29/2022 6:18:59 PM,0,80.00,67.50,0.0,12.50,0.0,0.0,18.00,0.00,2
456760,R0023,1129173029,49653,11/29/2022 12:00:00 AM,11/29/2022 5:30:29 PM,11/29/2022 5:31:02 PM,0,9.00,0.0,0.0,0.0,9.00,0.0,0.00,0.00,2
438284,R0023,1129174028,49654,11/29/2022 12:00:00 AM,11/29/2022 5:40:28 PM,11/29/2022 7:15:16 PM,0,87.00,54.00,0.0,20.00,13.00,0.0,20.00,0.00,2
456760,R0023,1129183638,49655,11/29/2022 12:00:00 AM,11/29/2022 6:36:38 PM,11/29/2022 7:51:33 PM,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,2
456760,R0023,1129193917,49656,11/29/2022 12:00:00 AM,11/29/2022 7:39:17 PM,11/29/2022 8:40:34 PM,0,90.00,81.00,2.70,6.30,0.00,0.0,20.00,0.00,2
456760,R0023,1129203639,49657,11/29/2022 12:00:00 AM,11/29/2022 8:36:39 PM,11/29/2022 9:22:45 PM,1,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,2
456760,R0023,1129210422,49658,11/29/2022 12:00:00 AM,11/29/2022 9:04:22 PM,11/29/2022 9:04:53 PM,0,11.00,0.0,11.00,0.0,0.0,0.0,0.00,0.00,2
431818,R0023,1129173722,51873,11/29/2022 12:00:00 AM,11/29/2022 5:37:22 PM,11/29/2022 6:38:31 PM,0,130.00,98.00,0.0,20.00,12.00,0.0,35.00,0.00,1
431818,R0023,1129180618,51874,11/29/2022 12:00:00 AM,11/29/2022 6:06:18 PM,11/29/2022 7:27:54 PM,0,109.75,109.75,0.0,0.0,0.0,0.0,25.00,0.00,1
431818,R0023,1129184458,51875,11/29/2022 12:00:00 AM,11/29/2022 6:44:58 PM,11/29/2022 7:49:40 PM,0,189.00,154.00,0.0,35.00,0.0,0.0,40.00,0.00,1
431818,R0023,1129191045,51876,11/29/2022 12:00:00 AM,11/29/2022 7:10:45 PM,11/29/2022 8:59:33 PM,0,169.50,101.00,5.50,13.00,50.00,0.0,36.94,0.00,1
371303,R0023,1129192403,51877,11/29/2022 12:00:00 AM,11/29/2022 7:24:03 PM,11/29/2022 9:49:56 PM,0,931.50,512.50,11.00,408.00,0.0,0.0,0.00,186.30,1
371303,R0023,1129174103,62931,11/29/2022 12:00:00 AM,11/29/2022 5:41:03 PM,11/29/2022 6:48:21 PM,0,155.50,111.50,0.0,44.00,0.0,0.0,40.00,0.00,1
397138,R0023,1129181652,62932,11/29/2022 12:00:00 AM,11/29/2022 6:16:52 PM,11/29/2022 8:58:54 PM,0,1940.00,1295.00,0.0,645.00,0.0,0.0,0.00,388.00,1
431818,R0023,1129183429,62933,11/29/2022 12:00:00 AM,11/29/2022 6:34:29 PM,11/29/2022 8:24:15 PM,0,127.25,127.25,0.0,0.0,0.0,0.0,35.00,0.00,1
371303,R0023,1129184449,62934,11/29/2022 12:00:00 AM,11/29/2022 6:44:49 PM,11/29/2022 8:49:29 PM,0,309.00,224.00,0.0,37.00,48.00,0.0,66.00,0.00,1
371303,R0023,1129191649,62935,11/29/2022 12:00:00 AM,11/29/2022 7:16:49 PM,11/29/2022 8:49:54 PM,0,83.75,83.75,0.0,0.0,0.0,0.0,30.00,0.00,1
371303,R0023,1129193314,62936,11/29/2022 12:00:00 AM,11/29/2022 7:33:14 PM,11/29/2022 8:49:09 PM,0,91.00,79.00,0.0,0.0,12.00,0.0,0.00,0.00,1
431818,R0023,1129193509,62937,11/29/2022 12:00:00 AM,11/29/2022 7:35:09 PM,11/29/2022 8:59:49 PM,0,108.00,82.00,6.00,20.00,0.00,0.0,23.00,0.00,1
371303,R0023,1129200558,62938,11/29/2022 12:00:00 AM,11/29/2022 8:05:58 PM,11/29/2022 8:06:20 PM,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,1
431818,R0023,1129170527,74487,11/29/2022 12:00:00 AM,11/29/2022 5:05:27 PM,11/29/2022 6:30:32 PM,0,114.00,94.00,0.0,20.00,0.0,0.0,25.00,0.00,1
327363,R0023,1129171203,74488,11/29/2022 12:00:00 AM,11/29/2022 5:12:03 PM,11/29/2022 5:57:55 PM,0,60.75,60.75,0.0,0.0,0.0,0.0,14.00,0.00,1
327363,R0023,1129174644,74489,11/29/2022 12:00:00 AM,11/29/2022 5:46:44 PM,11/29/2022 5:57:38 PM,0,35.00,35.00,0.0,0.0,0.0,0.0,9.00,0.00,1
327363,R0023,1129174854,74490,11/29/2022 12:00:00 AM,11/29/2022 5:48:54 PM,11/29/2022 6:59:13 PM,0,83.00,56.00,0.0,0.0,27.00,0.0,0.00,0.00,1
115483,R0023,1129180224,74491,11/29/2022 12:00:00 AM,11/29/2022 6:02:24 PM,11/29/2022 8:09:48 PM,0,53.50,44.00,0.0,9.50,0.0,0.0,6.00,0.00,1
327363,R0023,1129180340,74492,11/29/2022 12:00:00 AM,11/29/2022 6:03:40 PM,11/29/2022 7:59:24 PM,0,435.00,334.00,0.0,49.00,52.00,0.0,94.20,0.00,1
115483,R0023,1129180450,74493,11/29/2022 12:00:00 AM,11/29/2022 6:04:50 PM,11/29/2022 7:35:30 PM,0,137.00,137.00,0.0,0.0,0.0,0.0,30.00,0.00,1
115483,R0023,1129182624,74494,11/29/2022 12:00:00 AM,11/29/2022 6:26:24 PM,11/29/2022 8:20:31 PM,0,108.00,93.00,5.50,9.50,0.0,0.0,24.00,0.00,1
115483,R0023,1129183044,74495,11/29/2022 12:00:00 AM,11/29/2022 6:30:44 PM,11/29/2022 8:20:02 PM,0,225.50,189.00,6.00,30.50,0.0,0.0,36.46,0.00,1
115483,R0023,1129183811,74496,11/29/2022 12:00:00 AM,11/29/2022 6:38:11 PM,11/29/2022 8:54:34 PM,0,232.50,163.50,0.0,69.00,0.0,0.0,49.02,0.00,1
327363,R0023,1129184104,74497,11/29/2022 12:00:00 AM,11/29/2022 6:41:04 PM,11/29/2022 8:03:34 PM,0,257.50,216.00,0.0,41.50,0.0,0.0,56.00,0.00,1
327363,R0023,1129190813,74498,11/29/2022 12:00:00 AM,11/29/2022 7:08:13 PM,11/29/2022 8:15:51 PM,0,98.50,61.00,0.0,28.00,9.50,0.0,25.00,0.00,1
327363,R0023,1129192026,74499,11/29/2022 12:00:00 AM,11/29/2022 7:20:26 PM,11/29/2022 8:37:40 PM,0,163.75,147.25,16.50,0.0,0.0,0.0,35.00,0.00,1
115483,R0023,1129194243,74500,11/29/2022 12:00:00 AM,11/29/2022 7:42:43 PM,11/29/2022 8:55:11 PM,0,91.00,67.00,0.0,0.0,24.00,0.0,21.72,0.00,1
115483,R0023,1129195521,74501,11/29/2022 12:00:00 AM,11/29/2022 7:55:21 PM,11/29/2022 8:53:25 PM,0,30.00,30.00,0.0,0.0,0.0,0.0,0.00,0.00,1
115483,R0023,1129201050,74502,11/29/2022 12:00:00 AM,11/29/2022 8:10:50 PM,11/29/2022 8:11:42 PM,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,1
346882,R0023,1129182718,80534,11/29/2022 12:00:00 AM,11/29/2022 6:27:18 PM,11/29/2022 8:00:42 PM,0,2063.00,1708.00,52.50,253.50,49.00,0.0,0.00,412.60,1
9999991,R0023,1129144451,13415,11/29/2022 12:00:00 AM,11/29/2022 2:44:51 PM,11/29/2022 2:45:20 PM,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,75.00,1
9999991,R0023,1129192257,13423,11/29/2022 12:00:00 AM,11/29/2022 7:22:57 PM,11/29/2022 7:24:13 PM,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,75.00,1
